Date,Open,High,Low,Close,Volume
11/30/2009,43.75,43.75,42,42.5,11000
12/1/2009,43.75,43.75,41.25,41.25,1900
12/2/2009,43.5,43.5,40,41.75,8338
12/3/2009,41.75,42,41.25,42,2790
12/4/2009,42,42,40,40,1900
12/7/2009,40,40,39.25,39.25,1000
12/8/2009,39.25,39.25,37.75,39.25,6600
12/9/2009,37.75,38,37.5,37.5,35901
12/10/2009,36.25,38.75,32.75,33.25,53840
12/11/2009,32.75,35,32.25,32.25,97166
12/14/2009,32,33.75,32,32.5,25512
12/15/2009,34.75,34.75,31.75,31.75,27333
12/16/2009,33.5,33.5,30.5,30.5,23100
12/17/2009,31.25,32.5,30.5,31.25,13612
12/18/2009,31.25,31.25,28.75,30,6886
12/21/2009,27.75,31.25,27.5,31.25,33678
12/22/2009,27.5,31.25,27.5,31,58974
12/23/2009,31.25,35.75,29.25,35.5,23469
12/24/2009,33,33,33,33,798
12/28/2009,35,35,29.5,29.5,9195
12/29/2009,35,35,29.5,29.5,5094
12/30/2009,30,32.5,30,30.25,16538
12/31/2009,29.75,33.75,29.5,32.5,28318
1/4/2010,33.75,33.75,33.75,33.75,4000
1/5/2010,32.5,32.5,30,30.5,7600
1/6/2010,30.5,30.5,29.5,30,8480
1/7/2010,30,30,30,30,6099
1/8/2010,30,32.25,30,31.75,39372
1/11/2010,31.75,31.75,31.25,31.75,7701
1/12/2010,32.25,32.25,31.25,31.5,6000
1/13/2010,31.75,31.75,30,31.5,8998
1/14/2010,31.75,31.75,31.75,31.75,1995
1/15/2010,35,38.25,32.5,37.25,217991
1/19/2010,36.25,37.5,33.75,37.25,59443
1/20/2010,37.5,37.5,36.25,37.25,16849
1/21/2010,35,37.5,32.75,36,31025
1/22/2010,37.5,38.75,37.5,38.75,39200
1/26/2010,35.25,35.25,35.25,35.25,1000
1/27/2010,37.75,38.75,37.25,37.25,9970
1/28/2010,37.5,37.75,37.5,37.75,6660
1/29/2010,37.75,37.75,37.75,37.75,1655
2/1/2010,33.75,33.75,33.75,33.75,300
2/2/2010,37.75,37.75,37.5,37.5,2449
2/3/2010,37.75,37.75,37.75,37.75,5800
2/4/2010,33.75,37.75,33.75,37.75,1200
2/5/2010,38.75,38.75,33.75,33.75,26899
2/8/2010,37.5,38.75,37.5,38.75,1125
2/9/2010,34,34,32.25,33.25,29857
2/10/2010,33,33.25,32.5,32.5,18160
2/11/2010,32.5,32.5,31.25,31.25,1849
2/12/2010,31.25,32.5,31.25,32.5,9200
2/16/2010,35,35,31.25,31.25,1600
2/17/2010,31.5,32.5,30.25,30.75,45200
2/18/2010,32.5,35,31,33.75,15420
2/19/2010,33.75,33.75,33.75,33.75,500
2/22/2010,33.75,33.75,33.75,33.75,1000
2/23/2010,32.5,35,30.5,35,6998
2/24/2010,37.5,37.5,36.25,36.25,8000
2/25/2010,36.25,36.25,36.25,36.25,3000
2/26/2010,38.75,38.75,36.25,38.75,30001
3/1/2010,36.25,36.25,32.5,36.25,1495
3/2/2010,34.75,34.75,33.75,33.75,4000
3/3/2010,34.5,37.5,34.5,35,11632
3/4/2010,36.25,38.75,36.25,36.25,19199
